codigo_curto,municipio,uf,codigo_ibge,observacoes
VCVER,Vera Cruz,SP,3556602,
VINH,Vinhedo,SP,3556701,
VIRA,Viradouro,SP,3556800,
VAA,Vista Alegre do Alto,SP,3556909,
VBVIT,Vitória Brasil,SP,3556958,
VOTO,Votorantim,SP,3557006,
VOTU,Votuporanga,SP,3557105,
ZACA,Zacarias,SP,3557154,
CHAV,Chavantes,SP,3557204,
EGEST,Estiva Gerbi,SP,3557303,
